Genome Name,Study,Region,Country,Site,Cluster,Year,Mortality,N50,contig_count,total_size,resistance_score,ST,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence,O_genotype,O_locus_variant
42070_2#336,MLW,Eastern Africa,Malawi,36,ML76,2017,NA,264039,52,5472395,1,ST43,KL61,K61,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42070_2#35,MLW,Eastern Africa,Malawi,36,ML77,2013,NA,363963,64,5764815,1,ST45,KL52,K52,Typeable,OL13,O13,Untypeable,O13,OL13
42070_2#359,MLW,Eastern Africa,Malawi,36,ML78,2017,NA,374764,62,5509436,1,ST101,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42070_2#362,MLW,Eastern Africa,Malawi,36,ML80,2016,NA,443590,21,5209762,0,ST292,KL51,K51,Typeable,O3b,O3b,Typeable,O3b,O3b
42070_2#44,MLW,Eastern Africa,Malawi,36,ML84,2019,NA,463888,40,5486025,1,ST14,KL16,K16,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42070_2#5,MLW,Eastern Africa,Malawi,36,ML85,2013,NA,270620,62,5560104,1,ST340,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42070_2#9,MLW,Eastern Africa,Malawi,36,ML85,2013,NA,196582,64,5556008,1,ST340,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42070_2#62,MLW,Eastern Africa,Malawi,36,ML86,2017,NA,294067,51,5757967,0,ST3430,KL52,K52,Untypeable,OL13,O13,Typeable,O13,OL13
42092_1#146,MLW,Eastern Africa,Malawi,36,ML88,2020,NA,269168,59,5693075,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#84,MLW,Eastern Africa,Malawi,36,ML88,2020,NA,329273,58,5545877,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#148,MLW,Eastern Africa,Malawi,36,ML89,2020,NA,374110,52,5613150,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#20,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,294265,61,5547174,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#22,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,321390,66,5543744,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#28,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,326092,61,5716187,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#30,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,270730,68,5548194,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_2#41,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,333352,71,5546109,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#202,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,268980,60,5546435,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#206,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,262699,59,5547804,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#208,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,329756,59,5546613,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#234,MLW,Eastern Africa,Malawi,36,ML88,2019,NA,271203,57,5548700,1,ST15,KL48,K48,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#186,MLW,Eastern Africa,Malawi,36,ML90,2020,NA,498077,32,5501054,1,ST391,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#214,MLW,Eastern Africa,Malawi,36,ML91,2020,NA,973654,47,5720000,1,ST45,KL52,K52,Typeable,OL13,O13,Typeable,O13,OL13
42092_1#220,MLW,Eastern Africa,Malawi,36,ML92,2020,NA,165606,108,5709048,1,ST3132,KL142,Capsule null,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42092_1#224,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,350651,67,5612635,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#248,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,350068,62,5614807,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#280,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,335523,72,5613752,1,ST29,KL19,Capsule null,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#284,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,350552,69,5612927,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#288,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,350552,74,5613436,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_2#1,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,350102,70,5612015,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#24,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,362971,35,5440081,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#162,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,376988,35,5437889,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#174,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,437099,35,5438916,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#176,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,437099,35,5440048,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42092_1#242,MLW,Eastern Africa,Malawi,36,ML95,2020,NA,428661,70,5354052,0,ST463-1LV,KL49,Capsule null,Typeable,OL13,O13,Typeable,O13,OL13
42092_1#286,MLW,Eastern Africa,Malawi,36,ML95,2020,NA,255755,71,5353106,0,ST463-1LV,KL49,Capsule null,Typeable,OL13,O13,Typeable,O13,OL13
42092_1#312,MLW,Eastern Africa,Malawi,36,ML95,2020,NA,315199,78,5354902,0,ST463-1LV,KL49,K49,Typeable,OL13,O13,Typeable,O13,OL13
42092_2#7,MLW,Eastern Africa,Malawi,36,ML93,2020,NA,368390,75,5612885,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#274,MLW,Eastern Africa,Malawi,36,ML96,2020,NA,623955,34,5373163,1,ST584,KL9,K9,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
42092_1#308,MLW,Eastern Africa,Malawi,36,ML97,2020,NA,302589,66,5654209,1,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
42092_1#58,MLW,Eastern Africa,Malawi,36,ML98,2019,NA,352060,78,5611133,1,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_1#88,MLW,Eastern Africa,Malawi,36,ML99,2020,NA,326097,76,5805619,1,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
42092_2#18,MLW,Eastern Africa,Malawi,36,ML107,2014,NA,463781,109,5788887,1,ST391,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_2#3,MLW,Eastern Africa,Malawi,36,ML118,2020,NA,435184,33,5331215,1,ST29,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42092_2#5,MLW,Eastern Africa,Malawi,36,ML129,2020,NA,358616,55,5574143,1,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42092_2#9,MLW,Eastern Africa,Malawi,36,ML135,2020,NA,334924,44,5561105,1,ST39,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#100,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,437097,37,5439418,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#112,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,488450,43,5434352,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#132,MLW,Eastern Africa,Malawi,36,ML94,2019,NA,358293,33,5435809,0,ST45,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#110,MLW,Eastern Africa,Malawi,36,ML137,2019,NA,383919,75,5809425,1,ST14,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#12,MLW,Eastern Africa,Malawi,36,ML138,2019,NA,469730,39,5419165,1,ST48,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#354,MLW,Eastern Africa,Malawi,36,ML138,2019,NA,578535,42,5417832,1,ST48,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#4,MLW,Eastern Africa,Malawi,36,ML138,2019,NA,469730,36,5417233,1,ST48,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#170,MLW,Eastern Africa,Malawi,36,ML141,2019,NA,120296,105,5697276,1,ST3132,KL142,Capsule null,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#197,MLW,Eastern Africa,Malawi,36,ML142,2013,NA,219859,66,5600911,1,ST340,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
42139_1#2,MLW,Eastern Africa,Malawi,36,ML143,2019,NA,428464,41,5590936,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
42139_1#328,MLW,Eastern Africa,Malawi,36,ML143,2019,NA,428464,46,5596732,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
42139_1#263,MLW,Eastern Africa,Malawi,36,ML65,2019,NA,378138,36,5442476,1,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
42139_1#269,MLW,Eastern Africa,Malawi,36,ML145,2019,NA,372851,45,5415964,1,ST48,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#293,MLW,Eastern Africa,Malawi,36,ML146,2019,NA,135421,112,5626472,1,ST3132,KL142,Capsule null,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#295,MLW,Eastern Africa,Malawi,36,ML147,2019,NA,385751,40,5486808,1,ST4083,KL35,K35,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42139_1#318,MLW,Eastern Africa,Malawi,36,ML148,2019,NA,378138,36,5541929,1,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
42139_1#320,MLW,Eastern Africa,Malawi,36,ML149,2019,NA,243899,65,5580193,0,ST110,KL108,unknown (KL108),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42139_1#330,MLW,Eastern Africa,Malawi,36,ML150,2019,NA,391069,30,5537330,1,ST14,KL2,Capsule null,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#350,MLW,Eastern Africa,Malawi,36,ML151,2019,NA,390103,32,5257182,0,ST1015-2LV,KL10,K10,Typeable,O3b,O3b,Typeable,O3b,O3b
42139_1#352,MLW,Eastern Africa,Malawi,36,ML152,2019,NA,204676,80,5494364,1,ST54,KL14,K14,Typeable,O3b,O3b,Typeable,O3b,O3b
42139_1#38,MLW,Eastern Africa,Malawi,36,ML153,2019,NA,338091,63,5858848,1,ST39,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#66,MLW,Eastern Africa,Malawi,36,ML154,2019,NA,318886,72,5620401,1,ST39,KL23,K23,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
42139_1#41,MLW,Eastern Africa,Malawi,36,ML155,2014,NA,369942,46,5551395,1,ST372,KL43,K43,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
42139_1#74,MLW,Eastern Africa,Malawi,36,ML156,2019,NA,339868,72,5941527,1,ST14,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
42139_1#8,MLW,Eastern Africa,Malawi,36,ML157,2019,NA,238304,94,5638205,1,ST1799,KL16,Capsule null,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0215,CHRF,Southern Asia,Bangladesh,40,CHRF90,2013,NA,426348,134,5729520,2,ST16,KL51,K51,Typeable,O3b,O3b,Typeable,O3b,O3b
KPS_0206,CHRF,Southern Asia,Bangladesh,40,CHRF91,2013,NA,212528,201,5998770,2,ST147,KL64,K64,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0207,CHRF,Southern Asia,Bangladesh,38,CHRF92,2013,NA,367017,158,5877403,2,ST2805,KL110,unknown (KL110),Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0212,CHRF,Southern Asia,Bangladesh,38,CHRF92,2013,NA,219913,124,5838970,2,ST2805,KL110,unknown (KL110),Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0208,CHRF,Southern Asia,Bangladesh,38,CHRF93,2013,NA,493217,94,5541336,0,ST29,KL54,K54,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0209,CHRF,Southern Asia,Bangladesh,40,CHRF94,2013,NA,248100,88,5447899,1,ST392,KL27,K27,Typeable,O4,O4,Typeable,O4,O4
KPS_0211,CHRF,Southern Asia,Bangladesh,40,CHRF95,2013,NA,286561,135,5640586,2,ST490,KL3,K3,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0210,CHRF,Southern Asia,Bangladesh,40,CHRF96,2013,NA,334863,125,5689955,2,ST336,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
KPS_0213,CHRF,Southern Asia,Bangladesh,38,CHRF97,2013,NA,201194,140,5588903,2,ST490,KL3,Capsule null,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0216,CHRF,Southern Asia,Bangladesh,40,CHRF98,2013,NA,467153,207,5751094,2,ST336,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
KPS_0217,CHRF,Southern Asia,Bangladesh,40,CHRF99,2013,NA,247918,149,5622144,1,ST147,KL10,K10,Typeable,O3/O3a,O3/O3a,Typeable,O3/O3a,O3/O3a
KPS_0219,CHRF,Southern Asia,Bangladesh,38,CHRF100,2013,NA,367372,98,5522253,2,ST11,KL24,K24,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0220,CHRF,Southern Asia,Bangladesh,38,CHRF100,2013,NA,367372,95,5521416,2,ST11,KL24,K24,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0218,CHRF,Southern Asia,Bangladesh,38,CHRF101,2013,NA,180858,126,5425462,2,ST340,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0222,CHRF,Southern Asia,Bangladesh,40,CHRF103,2014,NA,215302,159,5442872,2,ST38,KL52,K52,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0224,CHRF,Southern Asia,Bangladesh,38,CHRF104,2014,NA,418992,122,5462666,1,ST39,KL23,K23,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0226,CHRF,Southern Asia,Bangladesh,41,CHRF105,2014,NA,357499,83,5498534,1,ST22,KL9,K9,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0228,CHRF,Southern Asia,Bangladesh,38,CHRF106,2014,NA,341742,99,5490762,1,ST429,KL27,Capsule null,Typeable,O4,O4,Typeable,O4,O4
KPS_0227,CHRF,Southern Asia,Bangladesh,40,CHRF107,2014,NA,266582,153,5754428,2,ST15,KL112,unknown (KL112),Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0233,CHRF,Southern Asia,Bangladesh,38,CHRF109,2015,NA,203685,158,5485439,2,ST340,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0239,CHRF,Southern Asia,Bangladesh,41,CHRF110,2016,NA,256383,91,5649975,1,ST37,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0240,CHRF,Southern Asia,Bangladesh,40,CHRF111,2016,NA,189481,100,5647602,2,ST14,KL64,K64,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0249,CHRF,Southern Asia,Bangladesh,40,CHRF111,2016,NA,210481,94,5648758,2,ST14,KL64,K64,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0251,CHRF,Southern Asia,Bangladesh,40,CHRF111,2016,NA,189481,99,5648012,2,ST14,KL64,K64,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0241,CHRF,Southern Asia,Bangladesh,41,CHRF112,2016,NA,265575,71,5436346,1,ST441-1LV,KL62,K62,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0244,CHRF,Southern Asia,Bangladesh,41,CHRF113,2016,NA,129318,173,5784630,1,ST2258,KL131,unknown (KL131),Typeable,O4,O4,Typeable,O4,O4
KPS_0243,CHRF,Southern Asia,Bangladesh,38,CHRF114,2016,NA,129332,121,5754644,1,ST2258,KL131,unknown (KL131),Typeable,O4,O4,Typeable,O4,O4
KPS_0246,CHRF,Southern Asia,Bangladesh,40,CHRF115,2016,NA,218518,145,5592800,2,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0248,CHRF,Southern Asia,Bangladesh,40,CHRF115,2016,NA,254731,146,5591475,2,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0247,CHRF,Southern Asia,Bangladesh,40,CHRF116,2016,NA,301368,243,5830133,2,ST29,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0263,CHRF,Southern Asia,Bangladesh,40,CHRF115,2017,NA,218518,147,5589348,1,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0264,CHRF,Southern Asia,Bangladesh,40,CHRF115,2017,NA,210469,139,5584973,1,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0250,CHRF,Southern Asia,Bangladesh,40,CHRF117,2016,NA,188978,109,5661730,1,ST490,KL3,K3,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0253,CHRF,Southern Asia,Bangladesh,40,CHRF118,2017,NA,204094,192,5553237,2,ST39,KL47,K47,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0254,CHRF,Southern Asia,Bangladesh,40,CHRF119,2017,NA,252425,141,5725345,2,ST37,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0255,CHRF,Southern Asia,Bangladesh,40,CHRF120,2017,NA,186603,154,5804182,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0256,CHRF,Southern Asia,Bangladesh,40,CHRF120,2017,NA,323651,144,5703979,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0258,CHRF,Southern Asia,Bangladesh,40,CHRF120,2017,NA,224673,140,5754809,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0259,CHRF,Southern Asia,Bangladesh,40,CHRF120,2017,NA,177752,141,5738358,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0260,CHRF,Southern Asia,Bangladesh,40,CHRF120,2017,NA,139985,189,5810878,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
KPS_0261,CHRF,Southern Asia,Bangladesh,40,CHRF121,2017,NA,158388,243,5743270,2,ST70-1LV,KL8,K8,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0262,CHRF,Southern Asia,Bangladesh,40,CHRF115,2017,NA,203470,150,5591451,2,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0265,CHRF,Southern Asia,Bangladesh,40,CHRF115,2017,NA,254731,149,5595873,2,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0266,CHRF,Southern Asia,Bangladesh,40,CHRF115,2017,NA,254731,155,5594465,2,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0313,CHRF,Southern Asia,Bangladesh,40,CHRF115,2018,NA,210541,147,5583839,2,ST626,KL54,K54,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0269,CHRF,Southern Asia,Bangladesh,38,CHRF122,2017,NA,336525,182,5536207,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
KPS_0268,CHRF,Southern Asia,Bangladesh,40,CHRF123,2017,NA,293544,152,5654084,2,ST16,KL48,K48,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0273,CHRF,Southern Asia,Bangladesh,40,CHRF124,2017,NA,295623,156,5585882,2,ST147,KL128,unknown (KL128),Typeable,O3b,O3b,Typeable,O3b,O3b
KPS_0278,CHRF,Southern Asia,Bangladesh,40,CHRF126,2018,NA,296996,165,5618365,2,ST16,KL81,K81,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0282,CHRF,Southern Asia,Bangladesh,40,CHRF126,2018,NA,150711,124,5578748,2,ST16,KL81,K81,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0304,CHRF,Southern Asia,Bangladesh,40,CHRF126,2018,NA,302079,84,5548967,2,ST16,KL81,K81,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0305,CHRF,Southern Asia,Bangladesh,40,CHRF126,2018,NA,293545,95,5704713,2,ST16,KL81,K81,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0312,CHRF,Southern Asia,Bangladesh,40,CHRF126,2018,NA,353852,83,5545483,2,ST16,KL81,K81,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0316,CHRF,Southern Asia,Bangladesh,40,CHRF126,2018,NA,324075,84,5547765,2,ST16,KL81,K81,Typeable,OL13,O13,Typeable,O13,OL13
KPS_0288,CHRF,Southern Asia,Bangladesh,40,CHRF129,2018,NA,258563,150,5632278,2,ST16,KL48,K48,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
KPS_0286,CHRF,Southern Asia,Bangladesh,40,CHRF130,2018,NA,203725,181,5885021,2,ST15,KL19,K19,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0290,CHRF,Southern Asia,Bangladesh,40,CHRF131,2018,NA,110652,141,5405264,2,ST37,KL38,K38,Typeable,O3b,O3b,Typeable,O3b,O3b
KPS_0291,CHRF,Southern Asia,Bangladesh,40,CHRF131,2018,NA,218354,132,5429930,2,ST37,KL38,K38,Typeable,O3b,O3b,Typeable,O3b,O3b
KPS_0294,CHRF,Southern Asia,Bangladesh,40,CHRF132,2018,NA,348289,74,5342255,1,ST48,KL124,unknown (KL124),Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0295,CHRF,Southern Asia,Bangladesh,40,CHRF134,2018,NA,270167,218,5519649,2,ST337,KL8,K8,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0298,CHRF,Southern Asia,Bangladesh,40,CHRF135,2018,NA,299538,224,5869773,2,ST70,KL122,unknown (KL122),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0299,CHRF,Southern Asia,Bangladesh,40,CHRF136,2018,NA,247469,108,5453048,2,ST3623,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0300,CHRF,Southern Asia,Bangladesh,40,CHRF137,2018,NA,350121,75,5396665,1,ST101,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0301,CHRF,Southern Asia,Bangladesh,40,CHRF138,2018,NA,238660,92,5579540,2,ST15,KL24,Capsule null,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
KPS_0302,CHRF,Southern Asia,Bangladesh,40,CHRF139,2018,NA,196429,182,5652813,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
KPS_0332,CHRF,Southern Asia,Bangladesh,40,CHRF139,2019,NA,259386,266,5799250,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
KPS_0335,CHRF,Southern Asia,Bangladesh,40,CHRF139,2019,NA,259488,216,5789049,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
KPS_0303,CHRF,Southern Asia,Bangladesh,40,CHRF140,2018,NA,292132,93,5633847,2,ST231,KL51,K51,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0307,CHRF,Southern Asia,Bangladesh,40,CHRF140,2018,NA,338359,88,5637311,2,ST231,KL51,K51,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0306,CHRF,Southern Asia,Bangladesh,40,CHRF141,2018,NA,250181,167,5893925,2,ST231,KL51,K51,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
KPS_0308,CHRF,Southern Asia,Bangladesh,40,CHRF142,2018,NA,295571,104,5756286,2,ST147,KL10,K10,Typeable,O3/O3a,O3/O3a,Typeable,O3/O3a,O3/O3a
KPS_0310,CHRF,Southern Asia,Bangladesh,40,CHRF143,2018,NA,273168,83,5550348,2,ST273,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0320,CHRF,Southern Asia,Bangladesh,40,CHRF143,2019,NA,350832,82,5552528,2,ST273,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
KPS_0323,CHRF,Southern Asia,Bangladesh,40,CHRF143,2019,NA,413576,75,5553994,2,ST273,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
