Genome Name	Study	Region	Country	Cluster	neonatal	Year	N50	contig_count	total_size	resistance_score	K_locus	K_type	K_locus_confidence	O_locus	O_type	O_locus_confidence	species	ST	Mortality	O_genotype	Site	O_locus_variant	Cluster7	Cluster14	Cluster56	Cluster365	Cluster1SNP	Cluster2SNP	Cluster3SNP	Cluster5SNP	Cluster10SNP	Cluster15SNP	Cluster20SNP	Cluster25SNP	Cluster50SNP	BioSample
KPS_0239	CHRF	Southern Asia	Bangladesh	CHRF110	neonate	2016	256383	91	5649975	1	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST37	NA	O4	38	O4	CHRF110	CHRF110	CHRF110	CHRF110	CHRF123	CHRF121	CHRF118	CHRF111	CHRF110	CHRF106	CHRF102	CHRF101	CHRF95	ERS25054293
KPS_0240	CHRF	Southern Asia	Bangladesh	CHRF111	neonate	2016	189481	100	5647602	2	KL64	K64	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST14	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF111	CHRF111	CHRF111	CHRF111	CHRF124	CHRF122	CHRF119	CHRF112	CHRF111	CHRF107	CHRF103	CHRF102	CHRF96	ERS25054350
KPS_0249	CHRF	Southern Asia	Bangladesh	CHRF111	neonate	2016	210481	94	5648758	2	KL64	K64	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST14	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF111	CHRF111	CHRF111	CHRF111	CHRF131	CHRF129	CHRF126	CHRF112	CHRF111	CHRF107	CHRF103	CHRF102	CHRF96	ERS25054408
KPS_0251	CHRF	Southern Asia	Bangladesh	CHRF111	neonate	2016	189481	99	5648012	2	KL64	K64	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST14	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF111	CHRF111	CHRF111	CHRF111	CHRF131	CHRF129	CHRF126	CHRF112	CHRF111	CHRF107	CHRF103	CHRF102	CHRF96	ERS25054419
KPS_0241	CHRF	Southern Asia	Bangladesh	CHRF112	neonate	2016	265575	71	5436346	1	KL62	K62	Typeable	O1/O2v1	O2a	Typeable	Klebsiella pneumoniae	ST441-1LV	NA	O2⍺	38	O2a (O1/O2v1)	CHRF112	CHRF112	CHRF112	CHRF112	CHRF125	CHRF123	CHRF120	CHRF113	CHRF112	CHRF108	CHRF104	CHRF103	CHRF97	ERS25054066
KPS_0244	CHRF	Southern Asia	Bangladesh	CHRF113	neonate	2016	129318	173	5784630	1	KL131	unknown (KL131)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST2258	NA	O4	38	O4	CHRF113	CHRF113	CHRF113	CHRF113	CHRF126	CHRF124	CHRF121	CHRF114	CHRF113	CHRF109	CHRF105	CHRF104	CHRF98	ERS25054358
KPS_0243	CHRF	Southern Asia	Bangladesh	CHRF114	neonate	2016	129332	121	5754644	1	KL131	unknown (KL131)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST2258	NA	O4	35	O4	CHRF114	CHRF114	CHRF114	CHRF114	CHRF127	CHRF125	CHRF122	CHRF115	CHRF114	CHRF109	CHRF105	CHRF104	CHRF98	ERS25054072
KPS_0246	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2016	218518	145	5592800	2	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF128	CHRF126	CHRF123	CHRF116	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054302
KPS_0248	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2016	254731	146	5591475	2	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF130	CHRF128	CHRF125	CHRF118	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054300
KPS_0247	CHRF	Southern Asia	Bangladesh	CHRF116	neonate	2016	301368	243	5830133	2	KL19	K19	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST29	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF116	CHRF116	CHRF116	CHRF116	CHRF129	CHRF127	CHRF124	CHRF117	CHRF116	CHRF111	CHRF107	CHRF106	CHRF100	ERS25054417
KPS_0263	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2017	218518	147	5589348	1	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF140	CHRF138	CHRF134	CHRF125	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054308
KPS_0264	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2017	210469	139	5584973	1	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF140	CHRF138	CHRF134	CHRF125	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054307
KPS_0250	CHRF	Southern Asia	Bangladesh	CHRF117	neonate	2016	188978	109	5661730	1	KL3	K3	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST490	NA	O2β	37	O2afg (O1/O2v2)	CHRF117	CHRF117	CHRF117	CHRF117	CHRF132	CHRF130	CHRF127	CHRF119	CHRF117	CHRF112	CHRF108	CHRF107	CHRF101	ERS25054416
KPS_0253	CHRF	Southern Asia	Bangladesh	CHRF118	neonate	2017	204094	192	5553237	2	KL47	K47	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST39	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF118	CHRF118	CHRF118	CHRF118	CHRF133	CHRF131	CHRF128	CHRF120	CHRF118	CHRF113	CHRF109	CHRF108	CHRF102	ERS25054409
KPS_0254	CHRF	Southern Asia	Bangladesh	CHRF119	neonate	2017	252425	141	5725345	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST37	NA	O4	37	O4	CHRF119	CHRF119	CHRF119	CHRF119	CHRF134	CHRF132	CHRF129	CHRF121	CHRF119	CHRF114	CHRF110	CHRF109	CHRF103	ERS25054404
KPS_0255	CHRF	Southern Asia	Bangladesh	CHRF120	neonate	2017	186603	154	5804182	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	37	O2afg (O1/O2v2)	CHRF120	CHRF120	CHRF120	CHRF120	CHRF135	CHRF133	CHRF130	CHRF122	CHRF120	CHRF115	CHRF111	CHRF110	CHRF104	ERS25054407
KPS_0256	CHRF	Southern Asia	Bangladesh	CHRF120	neonate	2017	323651	144	5703979	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	37	O2afg (O1/O2v2)	CHRF120	CHRF120	CHRF120	CHRF120	CHRF136	CHRF134	CHRF130	CHRF122	CHRF120	CHRF115	CHRF111	CHRF110	CHRF104	ERS25053850
KPS_0258	CHRF	Southern Asia	Bangladesh	CHRF120	neonate	2017	224673	140	5754809	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	37	O2afg (O1/O2v2)	CHRF120	CHRF120	CHRF120	CHRF120	CHRF135	CHRF133	CHRF130	CHRF122	CHRF120	CHRF115	CHRF111	CHRF110	CHRF104	ERS25054074
KPS_0259	CHRF	Southern Asia	Bangladesh	CHRF120	neonate	2017	177752	141	5738358	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	37	O2afg (O1/O2v2)	CHRF120	CHRF120	CHRF120	CHRF120	CHRF135	CHRF133	CHRF130	CHRF122	CHRF120	CHRF115	CHRF111	CHRF110	CHRF104	ERS25054353
KPS_0260	CHRF	Southern Asia	Bangladesh	CHRF120	neonate	2017	139985	189	5810878	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	37	O2afg (O1/O2v2)	CHRF120	CHRF120	CHRF120	CHRF120	CHRF138	CHRF136	CHRF132	CHRF124	CHRF120	CHRF115	CHRF111	CHRF110	CHRF104	ERS25054406
KPS_0261	CHRF	Southern Asia	Bangladesh	CHRF121	neonate	2017	158388	243	5743270	2	KL8	K8	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST70-1LV	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF121	CHRF121	CHRF121	CHRF121	CHRF137	CHRF135	CHRF131	CHRF123	CHRF121	CHRF116	CHRF112	CHRF111	CHRF105	ERS25054403
KPS_0262	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2017	203470	150	5591451	2	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF139	CHRF137	CHRF133	CHRF125	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054311
KPS_0265	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2017	254731	149	5595873	2	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF141	CHRF139	CHRF135	CHRF126	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054309
KPS_0266	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2017	254731	155	5594465	2	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF139	CHRF137	CHRF133	CHRF125	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054402
KPS_0313	CHRF	Southern Asia	Bangladesh	CHRF115	neonate	2018	210541	147	5583839	2	KL54	K54	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST626	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF115	CHRF115	CHRF115	CHRF115	CHRF171	CHRF168	CHRF163	CHRF152	CHRF115	CHRF110	CHRF106	CHRF105	CHRF99	ERS25054316
KPS_0269	CHRF	Southern Asia	Bangladesh	CHRF122	neonate	2017	336525	182	5536207	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	NA	O5	35	O5	CHRF122	CHRF122	CHRF122	CHRF122	CHRF142	CHRF140	CHRF136	CHRF127	CHRF122	CHRF117	CHRF113	CHRF112	CHRF106	ERS25054299
KPS_0268	CHRF	Southern Asia	Bangladesh	CHRF123	neonate	2017	293544	152	5654084	2	KL48	K48	Typeable	O1/O2v1	O2a	Typeable	Klebsiella pneumoniae	ST16	NA	O2⍺	37	O2a (O1/O2v1)	CHRF123	CHRF123	CHRF123	CHRF123	CHRF143	CHRF141	CHRF137	CHRF128	CHRF123	CHRF118	CHRF114	CHRF113	CHRF107	ERS25054405
KPS_0273	CHRF	Southern Asia	Bangladesh	CHRF124	neonate	2017	295623	156	5585882	2	KL128	unknown (KL128)	Typeable	O3b	O3b	Typeable	Klebsiella pneumoniae	ST147	NA	O3𝛾	37	O3b	CHRF124	CHRF124	CHRF124	CHRF124	CHRF144	CHRF142	CHRF138	CHRF129	CHRF124	CHRF119	CHRF115	CHRF114	CHRF108	ERS25054411
KPS_0278	CHRF	Southern Asia	Bangladesh	CHRF126	neonate	2018	296996	165	5618365	2	KL81	K81	Typeable	OL13	O13	Typeable	Klebsiella pneumoniae	ST16	NA	O13	37	OL13	CHRF126	CHRF126	CHRF126	CHRF126	CHRF146	CHRF144	CHRF140	CHRF131	CHRF126	CHRF121	CHRF117	CHRF116	CHRF110	ERS25054400
KPS_0282	CHRF	Southern Asia	Bangladesh	CHRF126	neonate	2018	150711	124	5578748	2	KL81	K81	Typeable	OL13	O13	Typeable	Klebsiella pneumoniae	ST16	NA	O13	37	OL13	CHRF126	CHRF126	CHRF126	CHRF126	CHRF148	CHRF146	CHRF142	CHRF133	CHRF126	CHRF121	CHRF117	CHRF116	CHRF110	ERS25054075
KPS_0304	CHRF	Southern Asia	Bangladesh	CHRF126	neonate	2018	302079	84	5548967	2	KL81	K81	Typeable	OL13	O13	Typeable	Klebsiella pneumoniae	ST16	NA	O13	37	OL13	CHRF126	CHRF126	CHRF126	CHRF126	CHRF163	CHRF161	CHRF157	CHRF131	CHRF126	CHRF121	CHRF117	CHRF116	CHRF110	ERS25054397
KPS_0305	CHRF	Southern Asia	Bangladesh	CHRF126	neonate	2018	293545	95	5704713	2	KL81	K81	Typeable	OL13	O13	Typeable	Klebsiella pneumoniae	ST16	NA	O13	37	OL13	CHRF126	CHRF126	CHRF126	CHRF126	CHRF165	CHRF144	CHRF140	CHRF131	CHRF126	CHRF121	CHRF117	CHRF116	CHRF110	ERS25054387
KPS_0312	CHRF	Southern Asia	Bangladesh	CHRF126	neonate	2018	353852	83	5545483	2	KL81	K81	Typeable	OL13	O13	Typeable	Klebsiella pneumoniae	ST16	NA	O13	37	OL13	CHRF126	CHRF126	CHRF126	CHRF126	CHRF169	CHRF166	CHRF140	CHRF131	CHRF126	CHRF121	CHRF117	CHRF116	CHRF110	ERS25054395
KPS_0316	CHRF	Southern Asia	Bangladesh	CHRF126	neonate	2018	324075	84	5547765	2	KL81	K81	Typeable	OL13	O13	Typeable	Klebsiella pneumoniae	ST16	NA	O13	37	OL13	CHRF126	CHRF126	CHRF126	CHRF126	CHRF172	CHRF144	CHRF140	CHRF131	CHRF126	CHRF121	CHRF117	CHRF116	CHRF110	ERS25054163
KPS_0288	CHRF	Southern Asia	Bangladesh	CHRF129	neonate	2018	258563	150	5632278	2	KL48	K48	Typeable	O1/O2v1	O2a	Typeable	Klebsiella pneumoniae	ST16	NA	O2⍺	37	O2a (O1/O2v1)	CHRF129	CHRF129	CHRF129	CHRF129	CHRF152	CHRF150	CHRF146	CHRF135	CHRF129	CHRF118	CHRF114	CHRF113	CHRF107	ERS25054315
KPS_0286	CHRF	Southern Asia	Bangladesh	CHRF130	neonate	2018	203725	181	5885021	2	KL19	K19	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST15	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF130	CHRF130	CHRF130	CHRF130	CHRF151	CHRF149	CHRF145	CHRF136	CHRF130	CHRF124	CHRF120	CHRF119	CHRF113	ERS25054348
KPS_0290	CHRF	Southern Asia	Bangladesh	CHRF131	neonate	2018	110652	141	5405264	2	KL38	K38	Typeable	O3b	O3b	Typeable	Klebsiella pneumoniae	ST37	NA	O3𝛾	37	O3b	CHRF131	CHRF131	CHRF131	CHRF131	CHRF153	CHRF151	CHRF147	CHRF137	CHRF131	CHRF125	CHRF121	CHRF120	CHRF114	ERS25054077
KPS_0291	CHRF	Southern Asia	Bangladesh	CHRF131	neonate	2018	218354	132	5429930	2	KL38	K38	Typeable	O3b	O3b	Typeable	Klebsiella pneumoniae	ST37	NA	O3𝛾	37	O3b	CHRF131	CHRF131	CHRF131	CHRF131	CHRF154	CHRF152	CHRF148	CHRF138	CHRF131	CHRF125	CHRF121	CHRF120	CHRF114	ERS25054314
KPS_0294	CHRF	Southern Asia	Bangladesh	CHRF132	neonate	2018	348289	74	5342255	1	KL124	unknown (KL124)	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST48	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF132	CHRF132	CHRF132	CHRF132	CHRF155	CHRF153	CHRF149	CHRF139	CHRF132	CHRF126	CHRF122	CHRF121	CHRF115	ERS25054319
KPS_0295	CHRF	Southern Asia	Bangladesh	CHRF134	neonate	2018	270167	218	5519649	2	KL8	K8	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST337	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF134	CHRF134	CHRF134	CHRF134	CHRF157	CHRF155	CHRF151	CHRF141	CHRF134	CHRF128	CHRF124	CHRF123	CHRF117	ERS25054396
KPS_0298	CHRF	Southern Asia	Bangladesh	CHRF135	neonate	2018	299538	224	5869773	2	KL122	unknown (KL122)	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST70	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF135	CHRF135	CHRF135	CHRF135	CHRF158	CHRF156	CHRF152	CHRF142	CHRF135	CHRF129	CHRF125	CHRF124	CHRF118	ERS25054078
KPS_0299	CHRF	Southern Asia	Bangladesh	CHRF136	neonate	2018	247469	108	5453048	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST3623	NA	O4	37	O4	CHRF136	CHRF136	CHRF136	CHRF136	CHRF159	CHRF157	CHRF153	CHRF143	CHRF136	CHRF130	CHRF126	CHRF125	CHRF119	ERS25054104
KPS_0300	CHRF	Southern Asia	Bangladesh	CHRF137	neonate	2018	350121	75	5396665	1	KL2	K2	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST101	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF137	CHRF137	CHRF137	CHRF137	CHRF160	CHRF158	CHRF154	CHRF144	CHRF137	CHRF131	CHRF127	CHRF126	CHRF120	ERS25054258
KPS_0301	CHRF	Southern Asia	Bangladesh	CHRF138	neonate	2018	238660	92	5579540	2	KL24	Capsule null	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST15	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF138	CHRF138	CHRF138	CHRF138	CHRF161	CHRF159	CHRF155	CHRF145	CHRF138	CHRF132	CHRF128	CHRF127	CHRF121	ERS25054157
KPS_0302	CHRF	Southern Asia	Bangladesh	CHRF139	neonate	2018	196429	182	5652813	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	37	O4	CHRF139	CHRF139	CHRF139	CHRF139	CHRF162	CHRF160	CHRF156	CHRF146	CHRF139	CHRF133	CHRF129	CHRF128	CHRF122	ERS25054317
KPS_0332	CHRF	Southern Asia	Bangladesh	CHRF139	neonate	2019	259386	266	5799250	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	37	O4	CHRF139	CHRF139	CHRF139	CHRF139	CHRF180	CHRF176	CHRF156	CHRF146	CHRF139	CHRF133	CHRF129	CHRF128	CHRF122	ERS25054373
KPS_0335	CHRF	Southern Asia	Bangladesh	CHRF139	neonate	2019	259488	216	5789049	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	37	O4	CHRF139	CHRF139	CHRF139	CHRF139	CHRF180	CHRF176	CHRF156	CHRF146	CHRF139	CHRF133	CHRF129	CHRF128	CHRF122	ERS25054378
KPS_0303	CHRF	Southern Asia	Bangladesh	CHRF140	neonate	2018	292132	93	5633847	2	KL51	K51	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST231	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF140	CHRF140	CHRF140	CHRF140	CHRF164	CHRF162	CHRF158	CHRF147	CHRF140	CHRF134	CHRF130	CHRF129	CHRF123	ERS25054156
KPS_0307	CHRF	Southern Asia	Bangladesh	CHRF140	neonate	2018	338359	88	5637311	2	KL51	K51	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST231	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF140	CHRF140	CHRF140	CHRF140	CHRF164	CHRF162	CHRF158	CHRF147	CHRF140	CHRF134	CHRF130	CHRF129	CHRF123	ERS25054393
KPS_0306	CHRF	Southern Asia	Bangladesh	CHRF141	neonate	2018	250181	167	5893925	2	KL51	K51	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST231	NA	O1⍺β,2β	37	O1 (O1/O2v2)	CHRF141	CHRF141	CHRF141	CHRF141	CHRF166	CHRF163	CHRF159	CHRF148	CHRF141	CHRF135	CHRF131	CHRF130	CHRF123	ERS25054388
KPS_0308	CHRF	Southern Asia	Bangladesh	CHRF142	neonate	2018	295571	104	5756286	2	KL10	K10	Typeable	O3/O3a	O3/O3a	Typeable	Klebsiella pneumoniae	ST147	NA	O3⍺/O3β	37	O3/O3a	CHRF142	CHRF142	CHRF142	CHRF142	CHRF167	CHRF164	CHRF160	CHRF149	CHRF142	CHRF136	CHRF132	CHRF131	CHRF124	ERS25054394
KPS_0310	CHRF	Southern Asia	Bangladesh	CHRF143	neonate	2018	273168	83	5550348	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST273	NA	O4	37	O4	CHRF143	CHRF143	CHRF143	CHRF143	CHRF168	CHRF165	CHRF161	CHRF150	CHRF143	CHRF137	CHRF133	CHRF132	CHRF125	ERS25054111
KPS_0320	CHRF	Southern Asia	Bangladesh	CHRF143	neonate	2019	350832	82	5552528	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST273	NA	O4	37	O4	CHRF143	CHRF143	CHRF143	CHRF143	CHRF168	CHRF165	CHRF161	CHRF150	CHRF143	CHRF137	CHRF133	CHRF132	CHRF125	ERS25054079
KPS_0323	CHRF	Southern Asia	Bangladesh	CHRF143	neonate	2019	413576	75	5553994	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST273	NA	O4	37	O4	CHRF143	CHRF143	CHRF143	CHRF143	CHRF168	CHRF165	CHRF161	CHRF150	CHRF143	CHRF137	CHRF133	CHRF132	CHRF125	ERS25054093
KPS_0314	CHRF	Southern Asia	Bangladesh	CHRF144	neonate	2018	312493	93	5477511	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	NA	O5	37	O5	CHRF144	CHRF144	CHRF144	CHRF144	CHRF170	CHRF167	CHRF162	CHRF151	CHRF144	CHRF138	CHRF134	CHRF133	CHRF126	ERS25054399
KPS_0317	CHRF	Southern Asia	Bangladesh	CHRF145	neonate	2019	273390	143	5688338	2	KL48	K48	Typeable	O1/O2v1	O2a	Typeable	Klebsiella pneumoniae	ST16	NA	O2⍺	37	O2a (O1/O2v1)	CHRF145	CHRF145	CHRF145	CHRF145	CHRF173	CHRF169	CHRF164	CHRF153	CHRF145	CHRF118	CHRF114	CHRF113	CHRF107	ERS25054320
KPS_0318	CHRF	Southern Asia	Bangladesh	CHRF146	neonate	2019	215433	91	5466497	1	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	37	O2afg (O1/O2v2)	CHRF146	CHRF146	CHRF146	CHRF146	CHRF174	CHRF170	CHRF165	CHRF154	CHRF146	CHRF139	CHRF135	CHRF134	CHRF127	ERS25054389
KPS_0325	CHRF	Southern Asia	Bangladesh	CHRF147	neonate	2019	187896	120	5446301	2	KL19	K19	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST340	NA	O2β	37	O2afg (O1/O2v2)	CHRF147	CHRF147	CHRF147	CHRF147	CHRF175	CHRF171	CHRF166	CHRF155	CHRF147	CHRF140	CHRF136	CHRF135	CHRF128	ERS25054390
KPS_0327	CHRF	Southern Asia	Bangladesh	CHRF148	neonate	2019	348310	81	5478277	2	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST48	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF148	CHRF148	CHRF148	CHRF148	CHRF177	CHRF173	CHRF168	CHRF157	CHRF148	CHRF141	CHRF137	CHRF136	CHRF129	ERS25054385
KPS_0334	CHRF	Southern Asia	Bangladesh	CHRF148	neonate	2019	344552	80	5465399	2	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST48	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF148	CHRF148	CHRF148	CHRF148	CHRF181	CHRF177	CHRF171	CHRF160	CHRF148	CHRF141	CHRF137	CHRF136	CHRF129	ERS25054374
KPS_0376	CHRF	Southern Asia	Bangladesh	CHRF148	neonate	2019	348310	80	5489629	2	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST48	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF148	CHRF148	CHRF148	CHRF148	CHRF203	CHRF191	CHRF184	CHRF173	CHRF148	CHRF141	CHRF137	CHRF136	CHRF129	ERS25054329
KPS_0384	CHRF	Southern Asia	Bangladesh	CHRF148	neonate	2020	348226	83	5493206	2	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST48	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF148	CHRF148	CHRF148	CHRF148	CHRF203	CHRF191	CHRF184	CHRF173	CHRF148	CHRF141	CHRF137	CHRF136	CHRF129	ERS25054372
KPS_0386	CHRF	Southern Asia	Bangladesh	CHRF148	neonate	2020	344552	78	5489234	2	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST48	NA	O1⍺β,2⍺	37	O1 (O1/O2v1)	CHRF148	CHRF148	CHRF148	CHRF148	CHRF203	CHRF191	CHRF184	CHRF173	CHRF148	CHRF141	CHRF137	CHRF136	CHRF129	ERS25054136
KPS_0329	CHRF	Southern Asia	Bangladesh	CHRF149	neonate	2019	247525	90	5552384	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST11	NA	O4	37	O4	CHRF149	CHRF149	CHRF149	CHRF149	CHRF178	CHRF174	CHRF169	CHRF158	CHRF149	CHRF142	CHRF138	CHRF137	CHRF130	ERS25054386
KPS_0330	CHRF	Southern Asia	Bangladesh	CHRF149	neonate	2019	350709	86	5551751	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST11	NA	O4	38	O4	CHRF149	CHRF149	CHRF149	CHRF149	CHRF178	CHRF174	CHRF169	CHRF158	CHRF149	CHRF142	CHRF138	CHRF137	CHRF130	ERS25054382
KPS_0336	CHRF	Southern Asia	Bangladesh	CHRF149	neonate	2019	209804	91	5551947	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST11	NA	O4	37	O4	CHRF149	CHRF149	CHRF149	CHRF149	CHRF178	CHRF174	CHRF169	CHRF158	CHRF149	CHRF142	CHRF138	CHRF137	CHRF130	ERS25054379
KPS_0342	CHRF	Southern Asia	Bangladesh	CHRF149	neonate	2019	270158	83	5553157	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST11	NA	O4	37	O4	CHRF149	CHRF149	CHRF149	CHRF149	CHRF178	CHRF174	CHRF169	CHRF158	CHRF149	CHRF142	CHRF138	CHRF137	CHRF130	ERS25054154
KPS_0344	CHRF	Southern Asia	Bangladesh	CHRF149	neonate	2019	270158	85	5553408	2	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST11	NA	O4	37	O4	CHRF149	CHRF149	CHRF149	CHRF149	CHRF187	CHRF181	CHRF169	CHRF158	CHRF149	CHRF142	CHRF138	CHRF137	CHRF130	ERS25054324
